fc′,as,ec,fpe,Pu,Mu,Vu,carbon,ID
28.0,99.0,0.1,1023.0,575.1082272445823,146.03113420936023,17.735752142831117,16.65411779534618,81
28.0,99.0,0.1,1069.5,572.7144072445823,145.3711109143572,17.735617490456114,16.65411779534618,82
28.0,99.0,0.1,1116.0,570.3205872445823,145.1387639213329,17.735482838081115,16.65411779534618,83
28.0,99.0,0.1,1162.5,567.9267672445823,145.1387639213329,17.735348185706115,16.65411779534618,84
28.0,99.0,0.1,1209.0,565.5329472445823,145.1387639213329,17.735213533331116,16.65411779534618,85
28.0,99.0,0.1,1255.5,563.1391272445823,145.1387639213329,17.735078880956113,16.65411779534618,86
28.0,99.0,0.1,1302.0,560.7453072445822,145.1387639213329,17.734944228581117,16.65411779534618,87
28.0,99.0,0.125,0.0,627.7722672445823,124.37254648209887,17.738714495081116,16.65411779534618,88
28.0,99.0,0.125,46.5,625.3784472445823,123.35445191333925,17.738579842706116,16.65411779534618,89
28.0,99.0,0.125,93.0,622.9846272445823,122.41911013168912,17.738445190331117,16.65411779534618,90
28.0,99.0,0.125,139.5,620.5908072445824,121.55984910439926,17.738310537956117,16.65411779534618,91
28.0,99.0,0.125,186.0,618.1969872445823,120.74506088567088,17.738175885581118,16.65411779534618,92
28.0,99.0,0.125,232.5,615.8031672445823,123.52891614849176,17.73804123320612,16.65411779534618,93
28.0,99.0,0.125,279.0,613.4093472445822,126.33304245881783,17.737906580831115,16.65411779534618,94
28.0,99.0,0.125,325.5,611.0155272445824,129.1405257350913,17.737771928456116,16.65411779534618,95
28.0,99.0,0.125,372.0,608.6217072445822,131.94028179165895,17.737637276081117,16.65411779534618,96
28.0,99.0,0.125,418.5,606.2278872445822,134.74696535763024,17.737502623706114,16.65411779534618,97
28.0,99.0,0.125,465.0,603.8340672445823,137.51648372278873,17.737367971331118,16.65411779534618,98
28.0,99.0,0.125,511.5,601.4402472445822,140.28953592777742,17.737233318956118,16.65411779534618,99
28.0,99.0,0.125,558.0,599.0464272445822,143.02234088497067,17.737098666581115,16.65411779534618,100
28.0,99.0,0.125,604.5,596.6526072445823,145.7573036734835,17.736964014206116,16.65411779534618,101
28.0,99.0,0.125,651.0,594.2587872445823,148.4796559438013,17.73682936183112,16.65411779534618,102
28.0,99.0,0.125,697.5,591.8649672445822,151.1729511188971,17.736694709456113,16.65411779534618,103
28.0,99.0,0.125,744.0,589.4711472445822,153.85214061749718,17.736560057081114,16.65411779534618,104
28.0,99.0,0.125,790.5,587.0773272445823,156.2310276056694,17.736425404706115,16.65411779534618,105
28.0,99.0,0.125,837.0,584.6835072445823,155.52091075363182,17.736290752331115,16.65411779534618,106
28.0,99.0,0.125,883.5,582.2896872445822,154.8262615441931,17.736156099956116,16.65411779534618,107
28.0,99.0,0.125,930.0,579.8958672445823,154.1551685633162,17.736021447581116,16.65411779534618,108
28.0,99.0,0.125,976.5,577.5020472445823,153.475842810806,17.735886795206117,16.65411779534618,109
28.0,99.0,0.125,1023.0,575.1082272445823,152.8219399848425,17.735752142831117,16.65411779534618,110
28.0,99.0,0.125,1069.5,572.7144072445823,152.16191668983944,17.735617490456114,16.65411779534618,111
28.0,99.0,0.125,1116.0,570.3205872445823,151.92956969681518,17.735482838081115,16.65411779534618,112
28.0,99.0,0.125,1162.5,567.9267672445823,151.92956969681518,17.735348185706115,16.65411779534618,113
28.0,99.0,0.125,1209.0,565.5329472445823,151.92956969681518,17.735213533331116,16.65411779534618,114
28.0,99.0,0.125,1255.5,563.1391272445823,151.92956969681518,17.735078880956113,16.65411779534618,115
28.0,99.0,0.125,1302.0,560.7453072445822,151.92956969681518,17.734944228581117,16.65411779534618,116
28.0,99.0,0.15,0.0,627.7722672445823,129.27701731994716,17.738714495081116,16.65411779534618,117
28.0,99.0,0.15,46.5,625.3784472445823,128.25892275118755,17.738579842706116,16.65411779534618,118
28.0,99.0,0.15,93.0,622.9846272445823,127.32358096953742,17.738445190331117,16.65411779534618,119
